codigo_venda,data,total
271716,"2018-10-10 22:27:16",99.68
395278,"2018-10-28 10:55:16",112.72
371055,"2018-10-24 15:25:32",101.25
403882,"2018-10-29 16:59:04",119.89
207217,"2018-10-03 09:13:23",56.36
319561,"2018-10-16 09:39:26",56.36
70455,"2018-09-09 10:49:29",44.89
275585,"2018-10-11 10:24:09",54.79
126591,"2018-09-19 08:42:40",57.85
146124,"2018-09-22 10:21:42",56.36
396846,"2018-10-28 14:55:19",57.85
113302,"2018-09-16 15:47:30",62.04
248817,"2018-10-08 20:27:53",116.83
116630,"2018-09-17 09:55:42",222.3
110425,"2018-09-16 02:55:09",57.85
27012,"2018-09-04 20:38:34",112.72
173073,"2018-09-27 11:50:07",116.83
235869,"2018-10-07 07:51:54",112.72
332555,"2018-10-18 10:43:13",62.04
139380,"2018-09-21 09:58:16",44.89
260368,"2018-10-10 01:26:53",112.64
325613,"2018-10-17 08:35:43",54.79
324173,"2018-10-16 21:12:34",62.04
207068,"2018-10-03 08:47:27",112.64
38391,"2018-09-05 21:13:31",57.85
214996,"2018-10-04 12:14:29",124.08
259507,"2018-10-09 22:31:32",189.46
160873,"2018-09-24 23:34:05",62.04
126474,"2018-09-19 08:08:25",54.79
411708,"2018-10-30 18:36:33",44.89
43143,"2018-09-06 10:17:01",57.85
339017,"2018-10-19 08:51:15",119.89
200533,"2018-10-02 06:10:37",112.72
136342,"2018-09-20 19:52:15",111.15
213806,"2018-10-04 09:46:12",62.04
39084,"2018-09-05 22:06:00",99.68
416202,"2018-10-31 11:03:20",114.21
207805,"2018-10-03 10:54:41",112.72
238471,"2018-10-07 14:56:46",157.53
358582,"2018-10-22 12:30:43",176.25
13151,"2018-09-03 09:49:34",111.15
70748,"2018-09-09 11:13:52",57.85
80041,"2018-09-10 16:31:30",99.68
5959,"2018-09-02 08:11:33",62.04
176845,"2018-09-27 21:34:36",56.36
158496,"2018-09-24 15:47:39",114.21
408372,"2018-10-30 11:29:37",54.79
290560,"2018-10-12 14:56:34",44.89
30809,"2018-09-05 10:47:27",57.85
243612,"2018-10-08 10:54:46",44.89
389581,"2018-10-27 09:31:04",225.36
84326,"2018-09-11 13:28:44",102.74
293024,"2018-10-12 20:58:25",57.85
175771,"2018-09-27 18:47:06",57.85
158170,"2018-09-24 14:51:10",119.89
14591,"2018-09-03 13:00:59",119.89
388041,"2018-10-26 21:31:36",54.79
338784,"2018-10-19 08:01:35",116.83
368062,"2018-10-23 23:53:23",156.04
146449,"2018-09-22 11:30:54",54.79
417314,"2018-10-31 13:01:09",57.85
239203,"2018-10-07 16:38:51",156.04
261635,"2018-10-10 09:34:19",221.14
311488,"2018-10-15 09:02:29",353.55
400554,"2018-10-29 09:11:22",62.04
116438,"2018-09-17 09:13:22",112.72
73008,"2018-09-09 14:43:15",56.36
184138,"2018-09-28 23:00:40",62.04
103298,"2018-09-14 15:51:32",116.83
