codigo_venda,data,total
194608,"2018-10-01 00:04:28",56.36
194626,"2018-10-01 00:09:38",54.79
194652,"2018-10-01 00:15:51",57.85
194733,"2018-10-01 00:58:55",62.04
194742,"2018-10-01 01:06:36",62.04
194766,"2018-10-01 01:23:01",56.36
194852,"2018-10-01 04:09:07",56.36
194872,"2018-10-01 05:26:17",56.36
195018,"2018-10-01 07:52:58",57.85
195028,"2018-10-01 08:00:09",56.36
195064,"2018-10-01 08:15:11",54.79
195072,"2018-10-01 08:16:58",56.36
195122,"2018-10-01 08:36:52",56.36
195158,"2018-10-01 08:48:38",44.89
195173,"2018-10-01 08:52:00",62.04
195198,"2018-10-01 09:00:45",44.89
195201,"2018-10-01 09:01:08",44.89
195203,"2018-10-01 09:01:45",102.74
195232,"2018-10-01 09:07:49",44.89
195278,"2018-10-01 09:18:28",57.85
195288,"2018-10-01 09:19:41",89.78
195289,"2018-10-01 09:19:42",44.89
195327,"2018-10-01 09:26:42",62.04
195381,"2018-10-01 09:36:58",54.79
195424,"2018-10-01 09:46:55",111.15
195426,"2018-10-01 09:47:28",102.74
195441,"2018-10-01 09:49:59",115.7
195454,"2018-10-01 09:52:10",56.36
195479,"2018-10-01 09:56:46",44.89
195493,"2018-10-01 09:59:33",62.04
195497,"2018-10-01 10:00:54",62.04
195509,"2018-10-01 10:02:26",57.85
195524,"2018-10-01 10:05:24",44.89
195526,"2018-10-01 10:05:39",62.04
195543,"2018-10-01 10:09:24",54.79
195554,"2018-10-01 10:11:03",56.36
195574,"2018-10-01 10:14:36",54.79
195576,"2018-10-01 10:14:56",44.89
195594,"2018-10-01 10:19:14",57.85
195608,"2018-10-01 10:22:02",106.93
195668,"2018-10-01 10:32:24",56.36
195677,"2018-10-01 10:34:44",102.74
195697,"2018-10-01 10:38:20",62.04
195787,"2018-10-01 10:53:50",62.04
195800,"2018-10-01 10:55:56",56.36
195804,"2018-10-01 10:56:25",62.04
195812,"2018-10-01 10:57:26",116.83
195818,"2018-10-01 10:58:30",56.36
195820,"2018-10-01 10:58:51",54.79
195825,"2018-10-01 10:59:57",62.04
195832,"2018-10-01 11:00:40",118.4
195902,"2018-10-01 11:13:04",114.21
195930,"2018-10-01 11:16:28",111.15
195954,"2018-10-01 11:21:29",57.85
195993,"2018-10-01 11:26:57",111.15
196000,"2018-10-01 11:28:16",57.85
196015,"2018-10-01 11:31:35",54.79
196040,"2018-10-01 11:36:36",56.36
196089,"2018-10-01 11:44:37",44.89
196127,"2018-10-01 11:50:02",62.04
196147,"2018-10-01 11:53:17",109.58
196176,"2018-10-01 11:59:29",62.04
196182,"2018-10-01 12:00:13",119.89
196202,"2018-10-01 12:02:50",118.4
196216,"2018-10-01 12:04:55",118.4
196245,"2018-10-01 12:10:07",57.85
196270,"2018-10-01 12:14:17",112.72
196412,"2018-10-01 12:33:33",44.89
196436,"2018-10-01 12:36:24",56.36
196474,"2018-10-01 12:40:44",44.89
196481,"2018-10-01 12:41:27",57.85
196504,"2018-10-01 12:45:21",101.25
196505,"2018-10-01 12:45:22",102.74
196520,"2018-10-01 12:47:48",62.04
196524,"2018-10-01 12:48:28",62.04
196534,"2018-10-01 12:50:23",44.89
196555,"2018-10-01 12:53:16",62.04
196566,"2018-10-01 12:56:04",62.04
196574,"2018-10-01 12:57:18",44.89
196672,"2018-10-01 13:14:56",56.36
196701,"2018-10-01 13:19:54",56.36
196717,"2018-10-01 13:21:57",111.15
196898,"2018-10-01 13:55:02",44.89
196949,"2018-10-01 14:02:13",62.04
196982,"2018-10-01 14:07:03",57.85
197047,"2018-10-01 14:17:15",57.85
197068,"2018-10-01 14:20:56",176.25
197137,"2018-10-01 14:30:27",119.89
197141,"2018-10-01 14:30:47",186.12
197225,"2018-10-01 14:43:52",116.83
197265,"2018-10-01 14:50:04",44.89
197341,"2018-10-01 15:01:48",56.36
197356,"2018-10-01 15:03:47",56.36
197383,"2018-10-01 15:07:52",57.85
197397,"2018-10-01 15:10:11",99.68
197416,"2018-10-01 15:12:35",112.64
197425,"2018-10-01 15:13:52",118.4
197455,"2018-10-01 15:19:16",112.64
197486,"2018-10-01 15:24:44",116.83
197591,"2018-10-01 15:44:11",62.04
197602,"2018-10-01 15:45:55",56.36
197782,"2018-10-01 16:16:48",56.36
197818,"2018-10-01 16:22:41",119.89
197830,"2018-10-01 16:24:39",62.04
197842,"2018-10-01 16:25:58",99.68
197846,"2018-10-01 16:26:42",62.04
197872,"2018-10-01 16:30:27",106.93
197882,"2018-10-01 16:31:48",57.85
197902,"2018-10-01 16:34:43",62.04
197942,"2018-10-01 16:39:24",57.85
197945,"2018-10-01 16:39:33",62.04
197962,"2018-10-01 16:42:20",106.93
197977,"2018-10-01 16:44:30",54.79
198008,"2018-10-01 16:49:17",62.04
198016,"2018-10-01 16:51:09",112.72
198046,"2018-10-01 16:56:00",57.85
198047,"2018-10-01 16:56:09",111.15
198049,"2018-10-01 16:56:18",116.83
198101,"2018-10-01 17:06:52",44.89
198176,"2018-10-01 17:23:28",114.21
198204,"2018-10-01 17:29:03",111.15
198246,"2018-10-01 17:35:48",56.36
198253,"2018-10-01 17:37:50",57.85
198286,"2018-10-01 17:42:45",56.36
198308,"2018-10-01 17:47:47",44.89
198363,"2018-10-01 17:57:44",109.58
198383,"2018-10-01 18:00:59",44.89
198387,"2018-10-01 18:02:12",44.89
198505,"2018-10-01 18:26:43",54.79
198507,"2018-10-01 18:27:13",114.21
198559,"2018-10-01 18:36:08",56.36
198576,"2018-10-01 18:39:12",62.04
198584,"2018-10-01 18:41:04",62.04
198616,"2018-10-01 18:46:27",102.74
198623,"2018-10-01 18:48:11",54.79
198625,"2018-10-01 18:48:14",56.36
198719,"2018-10-01 19:03:51",57.85
198724,"2018-10-01 19:05:09",56.36
198754,"2018-10-01 19:09:50",57.85
198756,"2018-10-01 19:10:27",44.89
198801,"2018-10-01 19:17:20",57.85
198820,"2018-10-01 19:19:31",44.89
198839,"2018-10-01 19:21:20",213.89
198851,"2018-10-01 19:23:01",44.89
198869,"2018-10-01 19:25:22",56.36
198875,"2018-10-01 19:26:21",370.26
198898,"2018-10-01 19:30:01",57.85
198922,"2018-10-01 19:34:55",57.85
199062,"2018-10-01 20:00:23",118.4
199097,"2018-10-01 20:06:07",62.04
199195,"2018-10-01 20:24:09",114.21
199252,"2018-10-01 20:32:20",56.36
199254,"2018-10-01 20:32:29",112.72
199365,"2018-10-01 20:50:13",62.04
199389,"2018-10-01 20:53:50",54.79
199411,"2018-10-01 20:58:02",101.25
199463,"2018-10-01 21:04:56",114.21
199623,"2018-10-01 21:33:28",44.89
199719,"2018-10-01 21:50:36",223.76
199730,"2018-10-01 21:53:35",56.36
199734,"2018-10-01 21:54:31",62.04
199880,"2018-10-01 22:26:45",215.38
199908,"2018-10-01 22:33:13",62.04
199939,"2018-10-01 22:39:10",44.89
199968,"2018-10-01 22:43:36",54.79
199972,"2018-10-01 22:44:24",44.89
199980,"2018-10-01 22:45:40",54.79
200000,"2018-10-01 22:50:29",56.36
200086,"2018-10-01 23:09:01",62.04
200123,"2018-10-01 23:18:50",62.04
200191,"2018-10-01 23:38:12",101.25
200259,"2018-10-02 00:07:32",62.04
200291,"2018-10-02 00:17:32",57.85
200326,"2018-10-02 00:33:19",57.85
200346,"2018-10-02 00:41:48",119.89
200353,"2018-10-02 00:44:37",116.83
200530,"2018-10-02 06:09:24",116.83
200533,"2018-10-02 06:10:37",112.72
200536,"2018-10-02 06:12:10",54.79
200607,"2018-10-02 07:12:52",115.7
200641,"2018-10-02 07:35:49",112.64
200697,"2018-10-02 07:59:14",118.4
200729,"2018-10-02 08:09:12",44.89
200741,"2018-10-02 08:11:06",54.79
200775,"2018-10-02 08:24:25",44.89
200801,"2018-10-02 08:29:01",57.85
200833,"2018-10-02 08:37:26",44.89
200886,"2018-10-02 08:52:56",99.68
200890,"2018-10-02 08:53:22",114.21
200910,"2018-10-02 08:57:15",56.36
200911,"2018-10-02 08:57:37",56.36
200998,"2018-10-02 09:14:18",44.89
201006,"2018-10-02 09:15:14",102.74
201020,"2018-10-02 09:18:01",54.79
201061,"2018-10-02 09:25:16",285.83
201065,"2018-10-02 09:26:03",62.04
201073,"2018-10-02 09:26:53",57.85
201108,"2018-10-02 09:32:24",101.25
201137,"2018-10-02 09:37:15",57.85
