codigo_venda,data,total
546,"2018-09-01 00:17:05",101.25
586,"2018-09-01 00:35:25",54.79
646,"2018-09-01 01:02:15",99.68
798,"2018-09-01 04:35:44",44.89
897,"2018-09-01 07:01:26",62.04
905,"2018-09-01 07:06:04",54.79
931,"2018-09-01 07:31:22",57.85
955,"2018-09-01 07:44:42",57.85
984,"2018-09-01 07:55:10",231.4
1029,"2018-09-01 08:08:08",56.36
1089,"2018-09-01 08:29:22",89.78
1119,"2018-09-01 08:39:48",57.85
1126,"2018-09-01 08:40:41",57.85
1204,"2018-09-01 09:03:28",57.85
1216,"2018-09-01 09:06:57",57.85
1308,"2018-09-01 09:34:04",56.36
1366,"2018-09-01 09:47:39",106.93
1427,"2018-09-01 10:00:11",56.36
1445,"2018-09-01 10:03:17",54.79
1449,"2018-09-01 10:03:47",62.04
1463,"2018-09-01 10:06:18",57.85
1628,"2018-09-01 10:41:33",229.91
1686,"2018-09-01 10:50:08",62.04
1717,"2018-09-01 10:56:41",124.08
1757,"2018-09-01 11:04:42",44.89
1765,"2018-09-01 11:05:30",99.68
1772,"2018-09-01 11:06:49",56.36
1812,"2018-09-01 11:14:13",191.03
1816,"2018-09-01 11:15:23",44.89
1824,"2018-09-01 11:16:28",57.85
1895,"2018-09-01 11:27:37",101.25
1922,"2018-09-01 11:32:10",56.36
1973,"2018-09-01 11:40:02",62.04
2030,"2018-09-01 11:49:57",56.36
2114,"2018-09-01 12:08:39",62.04
2133,"2018-09-01 12:11:11",62.04
2194,"2018-09-01 12:22:00",44.89
2215,"2018-09-01 12:25:20",44.89
2265,"2018-09-01 12:33:31",44.89
2274,"2018-09-01 12:35:06",102.74
2288,"2018-09-01 12:37:30",57.85
2311,"2018-09-01 12:41:41",54.79
2324,"2018-09-01 12:44:59",54.79
2399,"2018-09-01 12:57:42",234.1
2448,"2018-09-01 13:07:34",112.72
2488,"2018-09-01 13:14:39",57.85
2536,"2018-09-01 13:21:54",102.74
2656,"2018-09-01 13:46:08",54.79
